sku,legacy_sku,name,kind,genus,category,size,tier,planned,price,pack,needs_image,needs_culture,needs_price,needs_tier,needs_category,needs_size,mixed_combo_review,gap_count
S27-0485,AN08FGER003,"POT 8"" CALLIOPE DEEP ROSE",straight,Geranium,color_annuals,,,160,11,1,1,1,,1,,1,,4
S27-0488,AN08FGER004,"POT 8"" CALLIOPE HOT ROSE",straight,Geranium,color_annuals,,,160,10.98,1,1,1,,1,,1,,4
S27-0497,AN08FGER005,"POT 8"" CALLIOPE WHITE SPLASH",straight,Geranium,color_annuals,,,160,11.01,1,1,1,,1,,1,,4
S27-0628,AN04LYS001,"4.5"" LYSIMACHIA CREEPING JENNY",straight,Lysimachia,,"4.5""",,157,31.83,10,1,1,,1,1,,,4
S27-0500,AN11FGER001,FIBER LG. GERANIUM DYNAMO LIGHT PINK,straight,Geranium,color_annuals,,,153,17.4,1,1,1,,1,,1,,4
S27-0438,,38 CELL DRACAENA INDIVISA SPIKES,straight,Dracaena,color_annuals,flat,,150,,1,1,1,1,1,,,,4
S27-0739,AN07MBPAN003,MARKET BASKET FRIZZLE SIZZLE MIX,straight,Pansy,color_annuals,,,144,7.86,1,1,1,,1,,1,,4
S27-0746,AN07MBPAN002,MARKET BASKET MATRIX TRICOLOR MIX,straight,Pansy,color_annuals,,,144,7.87,1,1,1,,1,,1,,4
S27-0862,AN04RAN001,"4.5"" RANUNCULUS MACHE BICOLOR MIX",straight,Ranunculus,,"4.5""",,140,32.29,10,1,1,,1,1,,,4
S27-0863,AN04RAN002,"4.5"" RANUNCULUS MACHE PINK",straight,Ranunculus,,"4.5""",,140,32.34,10,1,1,,1,1,,,4
S27-0864,AN04RAN003,"4.5"" RANUNCULUS MACHE PURPLE",straight,Ranunculus,,"4.5""",,140,32.29,10,1,1,,1,1,,,4
S27-0865,AN04RAN004,"4.5"" RANUNCULUS MACHE ROSE",straight,Ranunculus,,"4.5""",,140,32.25,10,1,1,,1,1,,,4
S27-0866,AN04RAN005,"4.5"" RANUNCULUS MACHE YELLOW",straight,Ranunculus,,"4.5""",,140,32.29,10,1,1,,1,1,,,4
S27-0867,AN04RAN006,"4.5"" RANUNCULUS MAGIC FIREBALL",straight,Ranunculus,,"4.5""",,140,32.34,10,1,1,,1,1,,,4
S27-0935,AN10HBTRA001,"HB 10"" WANDERING JEWEL PINK PARADISE",straight,Tradescantia,,hb,,134,16.81,1,1,1,,1,1,,,4
S27-0937,AN10HBTRA002,"HB 10"" WANDERING JEWEL RED GEM",straight,Tradescantia,,hb,,131,16.72,1,1,1,,1,1,,,4
S27-0281,AN06CAA002,"6.5"" CANNA CLEOPATRA",straight,Canna,,"6.5""",,128,9.21,6,1,1,,1,1,,,4
S27-0002,AN04AGE001,"4.5"" AGERATUM MONARCH MAGIC",straight,Ageratum,,"4.5""",,120,32.29,10,1,1,,1,1,,,4
S27-0570,,"4.5"" IPOMOEA SWEET GEORGIA GREEN LT. HRT",straight,Ipomoea,color_annuals,"4.5""",,120,,10,1,1,1,1,,,,4
S27-0551,AN06GOM001,"6.5"" GOMPHRENA PING PONG PURPLE",straight,Gomphrena,,"6.5""",,114,34.82,6,1,1,,1,1,,,4
S27-0546,,"4.5"" GERBERA COLORBLOOM BICOLOR ORANGE YELLOW",straight,Gerbera,,"4.5""",,112,32.16,10,1,1,,1,1,,,4
S27-0589,AN04GRA006,"4.5"" JUNCUS TWISTER",straight,Juncus,,"4.5""",,112,31.83,10,1,1,,1,1,,,4
S27-0041,AN10HBSPR001,"HB 10"" SPRENGERI BASKET",straight,Asparagus Fern,,hb,,108,18.24,1,1,1,,1,1,,,4
S27-0747,AN07MBPAN006,MARKET BASKET PANSY MATRIX YELLOW,straight,Pansy,color_annuals,,,108,7.87,1,1,1,,1,,1,,4
S27-0025,,"4.5"" ANGELONIA ARCHANGEL PINK",straight,Angelonia,color_annuals,"4.5""",,100,,10,1,1,1,1,,,,4
S27-0398,,"4.5"" DAHLIA YELLOW",straight,Dahlia,color_annuals,"4.5""",,100,,10,1,1,1,1,,,,4
S27-0885,AN04SET002,"4.5"" SETCREASEA PINK STRIPES",straight,Setcreasea,,"4.5""",,100,32.11,10,1,1,,1,1,,,4
S27-0886,AN04SET001,"4.5"" SETCREASEA PURPLE QUEEN",straight,Setcreasea,,"4.5""",,100,32.18,10,1,1,,1,1,,,4
S27-0904,AN04SUN007,"4.5"" SUNPATIENS COMPACT LILAC",straight,Sunpatiens,,"4.5""",,100,32.82,10,1,1,,1,1,,,4
S27-0909,AN04SUN008,"4.5"" SUNPATIENS COMPACT  ORCHID BLUSH",straight,Sunpatiens,,"4.5""",,100,33.1,10,1,1,,1,1,,,4
S27-0916,AN04SUN010,"4.5"" SUNPATIENS COMPACT RED CANDY",straight,Sunpatiens,,"4.5""",,100,32.82,10,1,1,,1,1,,,4
S27-0032,,"6.5"" ANGELONIA GUARDIAN ANGEL PINK",straight,Angelonia,color_annuals,"6.5""",,96,,6,1,1,1,1,,,,4
S27-0165,,"6.5"" BRACTEANTHA SUNBRERO ORANGE",straight,Bracteantha,,"6.5""",,96,32.12,6,1,1,,1,1,,,4
S27-0166,,"6.5"" BRACTEANTHA SUNBRERO PINK",straight,Bracteantha,,"6.5""",,96,33.03,6,1,1,,1,1,,,4
S27-0167,,"6.5"" BRACTEANTHA SUNBRERO YELLOW",straight,Bracteantha,,"6.5""",,96,32.14,6,1,1,,1,1,,,4
S27-0411,,"6.5"" DAHLIA PURPLE WHITE",straight,Dahlia,color_annuals,"6.5""",,96,,6,1,1,1,1,,,,4
S27-0414,,"6.5"" DAHLIA DALAYA RED+YELLOW EYE",straight,Dahlia,color_annuals,"6.5""",,96,,6,1,1,1,1,,,,4
S27-0753,AN07MBPAN007,MARKET BASKET TOP WAVE BLUE BLOTCH,straight,Pansy,color_annuals,,,96,7.88,1,1,1,,1,,1,,4
S27-0760,AN07MBPAN009,MARKET BASKET TOP WAVE PURPLE WHITE,straight,Pansy,color_annuals,,,96,7.89,1,1,1,,1,,1,,4
S27-0761,AN07MBPAN008,MARKET BASKET TOP WAVE PURPLE ROSE BLOTCH,straight,Pansy,color_annuals,,,96,7.88,1,1,1,,1,,1,,4
S27-0033,AN04APT001,"4.5"" APTENIA GOLDEN CASCADE",straight,Aptenia,,"4.5""",,90,32.76,10,1,1,,1,1,,,4
S27-0268,AN04CAA001,"4.5"" CANNA CANNOVA BRONZE ORANGE",straight,Canna,,"4.5""",,90,32.59,10,1,1,,1,1,,,4
